from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,r_balance_in_rub,balance_in_val,r_balance_in_val,balance_in_total,r_balance_in_total,turn_deb_rub,r_turn_deb_rub,turn_deb_val,r_turn_deb_val,turn_deb_total,r_turn_deb_total,turn_cre_rub,r_turn_cre_rub,turn_cre_val,r_turn_cre_val,turn_cre_total,r_turn_cre_total,balance_out_rub,r_balance_out_rub,balance_out_val,r_balance_out_val,balance_out_total,r_balance_out_total
2018-01-01,2018-01-31,А,30424,A,3051834.75,0,0.0,0,3051834.75,0,4414156.66,0,0.0,0,4414156.66,0,9299232.48,0,0.0,0,9299232.48,0,-1833241.07,0,0.0,0,-1833241.07,0
2018-01-01,2018-01-31,А,30111,P,12870364.7,0,0.0,0,12870364.7,0,262822812.82,0,0.0,0,262822812.82,0,172294943.56,0,0.0,0,172294943.56,0,-77657504.56,0,0.0,0,-77657504.56,0
2018-01-01,2018-01-31,А,30110,A,672230.65,0,15170860.894378,0,15843091.544378,0,373332.34,0,0.0,0,373332.34,0,1083668.65,0,0.0,0,1083668.65,0,-38105.66,0,15170860.894378,0,15132755.234378,0
2018-01-01,2018-01-31,А,30413,A,1216835.42,0,0.0,0,1216835.42,0,2098780.35,0,0.0,0,2098780.35,0,2382487.14,0,0.0,0,2382487.14,0,933128.63,0,0.0,0,933128.63,0
2018-01-01,2018-01-31,А,30221,A,69885.07,0,21447412.802542,0,21517297.872542,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69885.07,0,21447412.802542,0,21517297.872542,0
2018-01-01,2018-01-31,А,30233,A,58966.57,0,5801448.041544,0,5860414.611544,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,58966.57,0,5801448.041544,0,5860414.611544,0
2018-01-01,2018-01-31,А,30202,A,29554.0,0,0.0,0,29554.0,0,0.0,0,0.0,0,0.0,0,93819.58,0,0.0,0,93819.58,0,-64265.58,0,0.0,0,-64265.58,0
2018-01-01,2018-01-31,А,30126,P,67224.06,0,0.0,0,67224.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,67224.06,0,0.0,0,67224.06,0
2018-01-01,2018-01-31,А,30114,A,0.0,0,365582277.715274,0,365582277.715274,0,0.0,0,1464972651.186801,0,1464972651.186801,0,0.0,0,2198485419.206569,0,2198485419.206569,0,0.0,0,-367930490.304494,0,-367930490.304494,0
2018-01-01,2018-01-31,А,30109,P,63891.96,0,0.0,0,63891.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,63891.96,0,0.0,0,63891.96,0
2018-01-01,2018-01-31,А,30220,P,0.0,0,31441955.4612478,0,31441955.4612478,0,0.0,0,251131748.618938,0,251131748.618938,0,0.0,0,162558540.257008,0,162558540.257008,0,0.0,0,-57131252.9006822,0,-57131252.9006822,0
2018-01-01,2018-01-31,А,30236,P,39070.65,0,64903749.273735,0,64942819.923735,0,0.0,0,134845152.115113,0,134845152.115113,0,0.0,0,249074167.076237,0,249074167.076237,0,39070.65,0,179132764.234859,0,179171834.884859,0
2018-01-01,2018-01-31,А,30102,A,1354052.04,0,0.0,0,1354052.04,0,625394801.24,0,0.0,0,625394801.24,0,787800969.59,0,0.0,0,787800969.59,0,-161052116.31,0,0.0,0,-161052116.31,0
2018-01-01,2018-01-31,А,30222,P,215769.47,0,36481625.32796,0,36697394.79796,0,0.0,0,5595511.517496,0,5595511.517496,0,0.0,0,0.0,0,0.0,0,215769.47,0,30886113.810464,0,31101883.280464,0
2018-01-01,2018-01-31,А,30425,A,87620.47,0,2207131.951626,0,2294752.421626,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,87620.47,0,2207131.951626,0,2294752.421626,0
2018-01-01,2018-01-31,А,30204,A,5541.83,0,0.0,0,5541.83,0,149647.04,0,0.0,0,149647.04,0,0.0,0,0.0,0,0.0,0,155188.87,0,0.0,0,155188.87,0
2018-01-01,2018-01-31,А,30232,P,86904.66,0,4517213.068464,0,4604117.728464,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,86904.66,0,4517213.068464,0,4604117.728464,0
2018-01-01,2018-01-31,А,30223,P,814660.67,0,0.0,0,814660.67,0,6349676.77,0,0.0,0,6349676.77,0,15781776.55,0,0.0,0,15781776.55,0,10246760.45,0,0.0,0,10246760.45,0
